price,area,bedrooms,bathrooms,address,price_per_m2
2.67,1.0,2.0,2.0,quận 3,2.67
15.5,657.0,24.0,24.0,quận 9,0.02359208523592085
6.6,70.0,2.0,2.0,quận 7,0.09428571428571428
5.15,73.0,2.0,2.0,quận 10,0.07054794520547945
2.85,69.0,2.0,2.0,quận 9,0.04130434782608696
4.9,70.0,2.0,2.0,nhà bè,0.07
13.0,113.0,3.0,2.0,quận 2,0.11504424778761062
3.4,69.0,2.0,2.0,quận 9,0.049275362318840575
3.7,61.0,2.0,1.0,bình tân,0.060655737704918035
3.65,83.0,3.0,2.0,quận 9,0.04397590361445783
3.1,68.0,2.0,2.0,quận 5,0.04558823529411765
3.5,68.0,2.0,2.0,quận 9,0.051470588235294115
6.85,90.0,4.0,3.0,bình tân,0.0761111111111111
4.5,81.5,3.0,2.0,quận 9,0.05521472392638037
11.5,113.0,3.0,2.0,quận 2,0.10176991150442478
2.0,50.0,2.0,2.0,gò vấp,0.04
18.5,107.0,2.0,2.0,quận 2,0.17289719626168223
23.0,104.9,3.0,2.0,quận 1,0.219256434699714
7.35,69.0,2.0,2.0,quận 2,0.10652173913043478
2.155,75.0,2.0,2.0,quận 3,0.02873333333333333
3.8,86.0,2.0,2.0,quận 6,0.044186046511627906
3.3,69.0,2.0,2.0,quận 9,0.047826086956521734
1.37,80.0,2.0,2.0,quận 6,0.017125
24.5,160.0,5.0,6.0,thủ đức,0.153125
2.4,85.0,3.0,1.0,quận 6,0.028235294117647056
5.5,73.0,2.0,2.0,quận 9,0.07534246575342465
8.05,116.0,3.0,2.0,quận 9,0.06939655172413793
10.0,50.0,1.0,1.0,quận 2,0.2
2.8,63.0,1.0,1.0,quận 9,0.04444444444444444
8.8,71.7,1.0,1.0,quận 2,0.12273361227336123
65.0,137.0,3.0,2.0,quận 2,0.4744525547445255
87.0,1155.0,33.0,33.0,quận 3,0.07532467532467532
4.4,69.15,2.0,2.0,nhà bè,0.0636297903109183
9.0,87.0,2.0,2.0,quận 10,0.10344827586206896
140.0,96.0,3.0,1.0,quận 1,1.4583333333333333
9.5,88.0,2.0,2.0,quận 2,0.10795454545454546
2.66,1.0,2.0,2.0,quận 3,2.66
4.89,73.88,2.0,2.0,quận 9,0.06618841364374661
4.4,70.0,2.0,2.0,nhà bè,0.06285714285714286
3.9,61.0,2.0,1.0,bình chánh,0.06393442622950819
2.75,69.0,2.0,2.0,quận 9,0.03985507246376811
5.3,65.0,2.0,2.0,thủ đức,0.08153846153846153
10.0,106.0,3.0,3.0,gò vấp,0.09433962264150944
5.1,70.0,2.0,2.0,quận 6,0.07285714285714286
14.0,130.0,2.0,2.0,quận 2,0.1076923076923077
3.299,122.0,3.0,3.0,quận 4,0.027040983606557375
2.28,48.0,1.0,1.0,quận 9,0.047499999999999994
9.5,98.0,2.0,2.0,quận 2,0.09693877551020408
1.53,72.0,2.0,2.0,quận 3,0.02125
14.21,98.0,2.0,2.0,bình thạnh,0.14500000000000002
1.05,20.0,1.0,1.0,quận 3,0.052500000000000005
8.7,160.0,3.0,3.0,quận 5,0.05437499999999999
3.0,65.0,1.0,1.0,quận 9,0.046153846153846156
23.8,139.0,3.0,3.0,quận 2,0.1712230215827338
2.75,50.0,1.0,1.0,quận 4,0.055
12.0,110.0,3.0,2.0,quận 7,0.10909090909090909
4.6,73.0,2.0,2.0,bình chánh,0.06301369863013698
3.6,50.0,1.0,1.0,quận 10,0.07200000000000001
7.5,181.0,2.0,2.0,quận 7,0.04143646408839779
2.86,69.2,2.0,2.0,quận 9,0.04132947976878612
7.25,74.2,2.0,2.0,quận 2,0.0977088948787062
4.4,110.0,3.0,2.0,nhà bè,0.04
1.0,45.0,2.0,1.0,bình chánh,0.022222222222222223
14.0,108.7,3.0,2.0,bình thạnh,0.12879484820607176
3.45,54.0,2.0,1.0,quận 9,0.0638888888888889
1.925,80.0,2.0,2.0,quận 3,0.0240625
15.0,98.3,3.0,2.0,bình thạnh,0.1525940996948118
12.99,171.0,3.0,4.0,quận 12,0.07596491228070175
1.285,92.0,3.0,2.0,quận 8,0.013967391304347826
8.5,100.0,3.0,2.0,quận 7,0.085
2.35,59.0,2.0,1.0,quận 9,0.039830508474576275
20.0,135.0,3.0,2.0,quận 2,0.14814814814814814
4.9,100.35,3.0,3.0,nhà bè,0.04882909815645242
2.35,59.0,2.0,1.0,quận 9,0.039830508474576275
2.78,1.0,2.0,2.0,quận 5,2.78
1.1,68.0,2.0,2.0,quận 3,0.016176470588235296
4.65,115.0,2.0,2.0,quận 8,0.04043478260869565
12.8,120.0,3.0,3.0,quận 2,0.10666666666666667
39.0,166.0,3.0,2.0,quận 1,0.23493975903614459
5.3,66.57,2.0,2.0,quận 7,0.07961544239146763
7.0,55.0,1.0,1.0,quận 2,0.12727272727272726
5.4,65.3,2.0,2.0,quận 7,0.08269525267993875
8.1,90.0,3.0,3.0,quận 10,0.09
3.7,66666.0,2.0,2.0,quận 7,5.550055500555006e-05
5.4,71.86,2.0,2.0,quận 9,0.07514611745059839
4.5,93.0,3.0,2.0,quận 9,0.04838709677419355
31.0,123.0,3.0,2.0,quận 1,0.25203252032520324
0.001,80.0,8.0,16.0,quận 5,1.25e-05
6.0,52.7,1.0,1.0,quận 2,0.11385199240986717
